Trading day,Type,Percent
2020-12-21,Sell,14
2020-12-22,Buy,100
2020-12-23,Buy,100
2020-12-24,Buy,100
2020-12-28,Buy,83
2020-12-28,Sell,16
2020-12-29,Buy,83
2020-12-29,Sell,16
2020-12-30,Buy,66
2020-12-30,Sell,33
2020-12-31,Buy,55
2020-12-31,Sell,45
2021-01-04,Buy,58
2021-01-04,Sell,41
2021-01-05,Buy,100
2021-01-06,Buy,83
2021-01-06,Sell,16
2021-01-07,Buy,78
2021-01-07,Sell,21
2021-01-08,Buy,68
2021-01-08,Sell,31
2021-01-11,Buy,85
2021-01-11,Sell,15
2021-01-12,Buy,85
2021-01-12,Sell,14
2021-01-13,Buy,73
2021-01-13,Sell,26
2021-01-14,Buy,88
2021-01-14,Sell,11
2021-01-15,Buy,72
2021-01-15,Sell,27
2021-01-19,Buy,75
2021-01-19,Sell,25
2021-01-20,Buy,66
2021-01-20,Sell,33
2021-01-21,Buy,74
2021-01-21,Sell,25
2021-01-22,Buy,72
2021-01-22,Sell,27
2021-01-25,Buy,85
2021-01-25,Sell,14
2021-01-26,Buy,83
2021-01-26,Sell,16
2021-01-27,Buy,79
2021-01-27,Sell,20
2021-01-28,Buy,90
2021-01-28,Sell,9
2021-01-29,Buy,100
2021-02-01,Buy,66
2021-02-01,Sell,33
2021-02-02,Buy,80
2021-02-02,Sell,20
2021-02-03,Buy,75
2021-02-03,Sell,25
2021-02-04,Buy,76
2021-02-04,Sell,23
2021-02-05,Buy,56
2021-02-05,Sell,43
2021-02-08,Buy,47
2021-02-08,Sell,52
2021-02-09,Buy,76
2021-02-09,Sell,24
2021-02-10,Buy,55
2021-02-10,Sell,44
2021-02-11,Buy,45
2021-02-11,Sell,54
2021-02-12,Buy,36
2021-02-12,Sell,63
2021-02-16,Buy,72
2021-02-16,Sell,27
2021-02-17,Buy,77
2021-02-17,Sell,22
2021-02-18,Buy,68
2021-02-18,Sell,31
2021-02-19,Buy,76
2021-02-19,Sell,23
2021-02-22,Buy,100
2021-02-23,Buy,83
2021-02-23,Sell,16
2021-02-24,Buy,77
2021-02-24,Sell,22
2021-02-25,Buy,100
2021-02-26,Buy,100
2021-03-01,Buy,100
2021-03-03,Buy,100
2021-03-04,Buy,57
2021-03-04,Sell,42
2021-03-05,Buy,33
2021-03-05,Sell,66
2021-03-08,Buy,100
2021-03-09,Buy,100
2021-03-15,Buy,100
2021-03-16,Buy,60
2021-03-16,Sell,40
2021-03-17,Buy,50
2021-03-17,Sell,50
2021-03-18,Buy,100
2021-03-22,Buy,83
2021-03-22,Sell,16
2021-03-24,Buy,50
2021-03-24,Sell,50
2021-03-25,Buy,100
2021-03-26,Buy,100
