Stock,Position,User_count,Date,Last_updated
Legal & General Group,81,7762.0,30/11/2020,2020-11-30 08:00:00
IBM Corporation,82,7730.0,30/11/2020,2020-11-30 08:00:00
Ideanomics,83,7703.0,30/11/2020,2020-11-30 06:40:00
Ford Motor,84,7660.0,30/11/2020,2020-11-30 08:00:00
Li Auto,85,7616.0,30/11/2020,2020-11-30 06:40:00
Blink Charging,86,7413.0,30/11/2020,2020-11-30 06:40:00
Powerhouse Energy,87,7397.0,30/11/2020,2020-11-30 08:00:00
Greggs,88,7336.0,30/11/2020,2020-11-30 08:00:00
Hyliion Holdings,89,7306.0,30/11/2020,2020-11-30 08:00:00
JPMorgan Chase,90,7213.0,30/11/2020,2020-11-30 08:00:00
TUI,91,7083.0,30/11/2020,2020-11-30 08:00:00
Wells Fargo,92,7079.0,30/11/2020,2020-11-30 08:00:00
Snap Inc.,93,7030.0,30/11/2020,2020-11-30 06:40:00
Berkshire Hathaway,94,6957.0,30/11/2020,2020-11-30 06:40:00
Intu Properties,95,6838.0,30/11/2020,2020-11-30 06:40:00
Aviva,96,6802.0,30/11/2020,2020-11-30 06:40:00
Mastercard,97,6760.0,30/11/2020,2020-11-30 08:00:00
Deutsche Lufthansa,98,6631.0,30/11/2020,2020-11-30 06:40:00
Qualcomm,99,6502.0,30/11/2020,2020-11-30 06:40:00
Tesla,1,110306.0,01/12/2020,2020-12-01 07:20:00
Apple,2,83778.0,01/12/2020,2020-12-01 07:20:00
Amazon,3,76138.0,01/12/2020,2020-12-01 07:20:00
NIO Inc,4,72548.0,01/12/2020,2020-12-01 07:20:00
BP PLC,5,49949.0,01/12/2020,2020-12-01 07:20:00
Rolls-Royce Holdings,6,42732.0,01/12/2020,2020-12-01 07:20:00
Microsoft,7,42404.0,01/12/2020,2020-12-01 07:20:00
National Grid,8,38505.0,01/12/2020,2020-12-01 07:20:00
Netflix,9,38505.0,01/12/2020,2020-12-01 07:20:00
easyJet,10,37003.0,01/12/2020,2020-12-01 07:20:00
Vanguard S&P 500 ETF,11,35686.0,01/12/2020,2020-12-01 07:20:00
Pfizer,12,35147.0,01/12/2020,2020-12-01 07:20:00
Aston Martin,13,34948.0,01/12/2020,2020-12-01 07:20:00
Lloyds Banking Group,14,34231.0,01/12/2020,2020-12-01 07:20:00
Alibaba,15,31622.0,01/12/2020,2020-12-01 07:20:00
Palantir,16,31261.0,01/12/2020,2020-12-01 07:20:00
Nvidia,17,29822.0,01/12/2020,2020-12-01 07:20:00
Barclays,18,29688.0,01/12/2020,2020-12-01 07:20:00
Under Armour,19,29514.0,01/12/2020,2020-12-01 07:20:00
Alphabet Inc. Class A,20,28781.0,01/12/2020,2020-12-01 07:20:00
Royal Dutch Shell,21,28657.0,01/12/2020,2020-12-01 07:20:00
iShares Global Clean Energy,22,28206.0,01/12/2020,2020-12-01 07:20:00
IAG SA,23,28023.0,01/12/2020,2020-12-01 07:20:00
Facebook,24,27912.0,01/12/2020,2020-12-01 07:20:00
Cineworld Group,25,26921.0,01/12/2020,2020-12-01 07:20:00
Coca-Cola,26,26480.0,01/12/2020,2020-12-01 07:20:00
AstraZeneca,27,25705.0,01/12/2020,2020-12-01 07:20:00
Boeing,28,24531.0,01/12/2020,2020-12-01 07:20:00
Beyond Meat,29,24484.0,01/12/2020,2020-12-01 07:20:00
Walt Disney,30,21564.0,01/12/2020,2020-12-01 07:20:00
Advanced Micro Devices,31,20263.0,01/12/2020,2020-12-01 07:20:00
XPeng,32,20234.0,01/12/2020,2020-12-01 07:20:00
GlaxoSmithKline,33,19889.0,01/12/2020,2020-12-01 07:20:00
Nikola Corporation,34,19483.0,01/12/2020,2020-12-01 07:20:00
AT&T,35,18884.0,01/12/2020,2020-12-01 07:20:00
Virgin Galactic,36,18796.0,01/12/2020,2020-12-01 07:20:00
General Electric,37,17877.0,01/12/2020,2020-12-01 07:20:00
Zoom,38,17611.0,01/12/2020,2020-12-01 07:20:00
Wirecard,39,17116.0,01/12/2020,2020-12-01 07:20:00
McDonald's,40,16221.0,01/12/2020,2020-12-01 07:20:00
Moderna,41,16211.0,01/12/2020,2020-12-01 07:20:00
Square,42,16085.0,01/12/2020,2020-12-01 07:20:00
Premier Oil,43,16065.0,01/12/2020,2020-12-01 07:20:00
Tesco,44,16017.0,01/12/2020,2020-12-01 07:20:00
Bitcoin ETP,45,15650.0,01/12/2020,2020-12-01 07:20:00
PayPal,46,15090.0,01/12/2020,2020-12-01 07:20:00
Intel,47,14959.0,01/12/2020,2020-12-01 07:20:00
Uber Technologies,48,14510.0,01/12/2020,2020-12-01 07:20:00
HSBC Holdings,49,14488.0,01/12/2020,2020-12-01 07:20:00
Aurora Cannabis,50,13970.0,01/12/2020,2020-12-01 07:20:00
Peloton Interactive,51,13582.0,01/12/2020,2020-12-01 07:20:00
Johnson & Johnson,52,12905.0,01/12/2020,2020-12-01 07:20:00
Vanguard FTSE 100 GBP,53,12714.0,01/12/2020,2020-12-01 07:20:00
Visa,54,12537.0,01/12/2020,2020-12-01 07:20:00
BioNTech,55,12343.0,01/12/2020,2020-12-01 07:20:00
American Airlines,56,12239.0,01/12/2020,2020-12-01 07:20:00
Nike,57,11950.0,01/12/2020,2020-12-01 07:20:00
Tilray,58,11522.0,01/12/2020,2020-12-01 07:20:00
BAE Systems,59,11353.0,01/12/2020,2020-12-01 07:20:00
Shopify,60,10908.0,01/12/2020,2020-12-01 07:20:00
boohoo,61,10843.0,01/12/2020,2020-12-01 07:20:00
Plug Power,62,10760.0,01/12/2020,2020-12-01 07:20:00
Ocado Group,63,10737.0,01/12/2020,2020-12-01 07:20:00
Workhorse,64,10641.0,01/12/2020,2020-12-01 07:20:00
Vodafone Group,65,10395.0,01/12/2020,2020-12-01 07:20:00
Carnival,66,10286.0,01/12/2020,2020-12-01 07:20:00
WisdomTree WTI Crude Oil,67,10169.0,01/12/2020,2020-12-01 07:20:00
Exxon Mobil,68,10013.0,01/12/2020,2020-12-01 07:20:00
Unilever,69,9842.0,01/12/2020,2020-12-01 07:20:00
Switchback Energy Acquisition,70,9337.0,01/12/2020,2020-12-01 07:20:00
SmileDirectClub,71,9150.0,01/12/2020,2020-12-01 07:20:00
Realty Income,72,8861.0,01/12/2020,2020-12-01 07:20:00
Sony,73,8550.0,01/12/2020,2020-12-01 07:20:00
iShares Physical Gold,74,8500.0,01/12/2020,2020-12-01 07:20:00
Slack,75,8461.0,01/12/2020,2020-12-01 07:20:00
J D Wetherspoon,76,8407.0,01/12/2020,2020-12-01 07:20:00
Sundial Growers,77,8254.0,01/12/2020,2020-12-01 07:20:00
Vanguard FTSE All-World High Dividend Yield,78,8164.0,01/12/2020,2020-12-01 07:20:00
Ideanomics,79,8095.0,01/12/2020,2020-12-01 07:20:00
Delta Air Lines,80,8093.0,01/12/2020,2020-12-01 07:20:00
BT Group,81,7934.0,01/12/2020,2020-12-01 07:20:00
Walmart,82,7926.0,01/12/2020,2020-12-01 07:20:00
Legal & General Group,83,7831.0,01/12/2020,2020-12-01 07:20:00
IBM Corporation,84,7818.0,01/12/2020,2020-12-01 07:20:00
Ford Motor,85,7724.0,01/12/2020,2020-12-01 07:20:00
Li Auto,86,7679.0,01/12/2020,2020-12-01 07:20:00
Hyliion Holdings,87,7570.0,01/12/2020,2020-12-01 07:20:00
Blink Charging,88,7467.0,01/12/2020,2020-12-01 07:20:00
Powerhouse Energy,89,7396.0,01/12/2020,2020-12-01 07:20:00
JPMorgan Chase,90,7387.0,01/12/2020,2020-12-01 07:20:00
Greggs,91,7351.0,01/12/2020,2020-12-01 07:20:00
TUI,92,7138.0,01/12/2020,2020-12-01 07:20:00
Wells Fargo,93,7110.0,01/12/2020,2020-12-01 07:20:00
Snap Inc.,94,7062.0,01/12/2020,2020-12-01 07:20:00
Berkshire Hathaway,95,7031.0,01/12/2020,2020-12-01 07:20:00
Aviva,96,6937.0,01/12/2020,2020-12-01 07:20:00
Mastercard,97,6840.0,01/12/2020,2020-12-01 07:20:00
Intu Properties,98,6838.0,01/12/2020,2020-12-01 07:20:00
Salesforce,99,6788.0,01/12/2020,2020-12-01 07:20:00
Tesla,1,112580.0,02/12/2020,2020-12-02 19:40:00
Apple,2,83638.0,02/12/2020,2020-12-02 06:20:00
Amazon,3,76474.0,02/12/2020,2020-12-02 19:40:00
NIO Inc,4,73705.0,02/12/2020,2020-12-02 19:40:00
BP PLC,5,50616.0,02/12/2020,2020-12-02 16:20:00
Microsoft,6,42752.0,02/12/2020,2020-12-02 19:40:00
Rolls-Royce Holdings,7,42562.0,02/12/2020,2020-12-02 06:20:00
Pfizer,8,39588.0,02/12/2020,2020-12-02 19:40:00
National Grid,9,38932.0,02/12/2020,2020-12-02 19:40:00
Netflix,10,38081.0,02/12/2020,2020-12-02 16:20:00
easyJet,11,36972.0,02/12/2020,2020-12-02 16:20:00
Vanguard S&P 500 ETF,12,36423.0,02/12/2020,2020-12-02 19:40:00
Aston Martin,13,34952.0,02/12/2020,2020-12-02 19:40:00
Lloyds Banking Group,14,34183.0,02/12/2020,2020-12-02 16:20:00
Alibaba,15,31802.0,02/12/2020,2020-12-02 06:20:00
Palantir,16,30871.0,02/12/2020,2020-12-02 19:40:00
Nvidia,17,29966.0,02/12/2020,2020-12-02 16:20:00
Barclays,18,29697.0,02/12/2020,2020-12-02 16:20:00
Under Armour,19,29410.0,02/12/2020,2020-12-02 06:20:00
Alphabet Inc. Class A,20,29173.0,02/12/2020,2020-12-02 19:40:00
Royal Dutch Shell,21,28813.0,02/12/2020,2020-12-02 19:40:00
iShares Global Clean Energy,22,28808.0,02/12/2020,2020-12-02 19:40:00
IAG SA,23,28695.0,02/12/2020,2020-12-02 16:20:00
Facebook,24,27899.0,02/12/2020,2020-12-02 16:20:00
Cineworld Group,25,27131.0,02/12/2020,2020-12-02 19:40:00
Coca-Cola,26,26831.0,02/12/2020,2020-12-02 19:40:00
AstraZeneca,27,26137.0,02/12/2020,2020-12-02 19:40:00
Boeing,28,24783.0,02/12/2020,2020-12-02 19:40:00
Beyond Meat,29,24677.0,02/12/2020,2020-12-02 19:40:00
Walt Disney,30,21802.0,02/12/2020,2020-12-02 19:40:00
Advanced Micro Devices,31,20540.0,02/12/2020,2020-12-02 19:40:00
Nikola Corporation,32,20290.0,02/12/2020,2020-12-02 19:40:00
XPeng,33,20203.0,02/12/2020,2020-12-02 19:40:00
GlaxoSmithKline,34,20082.0,02/12/2020,2020-12-02 19:40:00
AT&T,35,19177.0,02/12/2020,2020-12-02 19:40:00
Virgin Galactic,36,19078.0,02/12/2020,2020-12-02 19:40:00
Zoom,37,18485.0,02/12/2020,2020-12-02 19:40:00
General Electric,38,18435.0,02/12/2020,2020-12-02 19:40:00
Moderna,39,17733.0,02/12/2020,2020-12-02 19:40:00
Wirecard,40,17026.0,02/12/2020,2020-12-02 06:20:00
McDonald's,41,16772.0,02/12/2020,2020-12-02 19:40:00
Square,42,16459.0,02/12/2020,2020-12-02 19:40:00
Tesco,43,16345.0,02/12/2020,2020-12-02 16:20:00
Premier Oil,44,16069.0,02/12/2020,2020-12-02 16:20:00
Bitcoin ETP,45,15756.0,02/12/2020,2020-12-02 16:20:00
PayPal,46,15435.0,02/12/2020,2020-12-02 19:40:00
Intel,47,14947.0,02/12/2020,2020-12-02 06:20:00
Uber Technologies,48,14634.0,02/12/2020,2020-12-02 16:20:00
HSBC Holdings,49,14520.0,02/12/2020,2020-12-02 16:20:00
Aurora Cannabis,50,14315.0,02/12/2020,2020-12-02 19:40:00
BioNTech,51,14030.0,02/12/2020,2020-12-02 19:40:00
Peloton Interactive,52,13618.0,02/12/2020,2020-12-02 06:20:00
Johnson & Johnson,53,12975.0,02/12/2020,2020-12-02 19:40:00
Vanguard FTSE 100 GBP,54,12931.0,02/12/2020,2020-12-02 19:40:00
Visa,55,12657.0,02/12/2020,2020-12-02 19:40:00
American Airlines,56,12427.0,02/12/2020,2020-12-02 19:40:00
Nike,57,12178.0,02/12/2020,2020-12-02 19:40:00
Tilray,58,11438.0,02/12/2020,2020-12-02 06:20:00
BAE Systems,59,11339.0,02/12/2020,2020-12-02 06:20:00
Shopify,60,10973.0,02/12/2020,2020-12-02 16:20:00
boohoo,61,10968.0,02/12/2020,2020-12-02 16:20:00
Plug Power,62,10766.0,02/12/2020,2020-12-02 06:20:00
Ocado Group,63,10718.0,02/12/2020,2020-12-02 06:20:00
Workhorse,64,10678.0,02/12/2020,2020-12-02 19:40:00
Carnival,65,10557.0,02/12/2020,2020-12-02 16:20:00
Vodafone Group,66,10397.0,02/12/2020,2020-12-02 06:20:00
Exxon Mobil,67,10121.0,02/12/2020,2020-12-02 19:40:00
WisdomTree WTI Crude Oil,68,10111.0,02/12/2020,2020-12-02 06:20:00
Unilever,69,10020.0,02/12/2020,2020-12-02 19:40:00
Switchback Energy Acquisition,70,9382.0,02/12/2020,2020-12-02 19:40:00
SmileDirectClub,71,9104.0,02/12/2020,2020-12-02 06:20:00
Realty Income,72,9016.0,02/12/2020,2020-12-02 19:40:00
Sundial Growers,73,8695.0,02/12/2020,2020-12-02 06:20:00
Slack,74,8619.0,02/12/2020,2020-12-02 16:20:00
Sony,75,8619.0,02/12/2020,2020-12-02 19:40:00
iShares Physical Gold,76,8614.0,02/12/2020,2020-12-02 19:40:00
J D Wetherspoon,77,8454.0,02/12/2020,2020-12-02 19:40:00
Delta Air Lines,78,8382.0,02/12/2020,2020-12-02 19:40:00
Vanguard FTSE All-World High Dividend Yield,79,8251.0,02/12/2020,2020-12-02 16:20:00
Walmart,80,8110.0,02/12/2020,2020-12-02 19:40:00
Salesforce,81,7995.0,02/12/2020,2020-12-02 19:40:00
Legal & General Group,82,7912.0,02/12/2020,2020-12-02 16:20:00
BT Group,83,7906.0,02/12/2020,2020-12-02 06:20:00
IBM Corporation,84,7903.0,02/12/2020,2020-12-02 19:40:00
Ideanomics,85,7772.0,02/12/2020,2020-12-02 06:20:00
Ford Motor,86,7711.0,02/12/2020,2020-12-02 16:20:00
Li Auto,87,7577.0,02/12/2020,2020-12-02 06:20:00
Hyliion Holdings,88,7565.0,02/12/2020,2020-12-02 06:20:00
JPMorgan Chase,89,7535.0,02/12/2020,2020-12-02 19:40:00
Powerhouse Energy,90,7406.0,02/12/2020,2020-12-02 06:20:00
Greggs,91,7351.0,02/12/2020,2020-12-02 06:20:00
Blink Charging,92,7268.0,02/12/2020,2020-12-02 06:20:00
TUI,93,7239.0,02/12/2020,2020-12-02 19:40:00
Wells Fargo,94,7171.0,02/12/2020,2020-12-02 19:40:00
Berkshire Hathaway,95,7121.0,02/12/2020,2020-12-02 19:40:00
Snap Inc.,96,7074.0,02/12/2020,2020-12-02 19:40:00
Aviva,97,7002.0,02/12/2020,2020-12-02 16:20:00
Mastercard,98,6873.0,02/12/2020,2020-12-02 19:40:00
Qualcomm,99,6868.0,02/12/2020,2020-12-02 19:40:00
Intu Properties,100,6838.0,02/12/2020,2020-12-02 06:20:00
Tesla,1,112571.0,03/12/2020,2020-12-03 12:00:00
Apple,2,83595.0,03/12/2020,2020-12-03 12:00:00
Amazon,3,76491.0,03/12/2020,2020-12-03 09:20:00
NIO Inc,4,73707.0,03/12/2020,2020-12-03 12:00:00
BP PLC,5,50945.0,03/12/2020,2020-12-03 12:00:00
Microsoft,6,42769.0,03/12/2020,2020-12-03 12:00:00
Rolls-Royce Holdings,7,42566.0,03/12/2020,2020-12-03 12:00:00
Pfizer,8,39764.0,03/12/2020,2020-12-03 09:20:00
National Grid,9,38997.0,03/12/2020,2020-12-03 12:00:00
Netflix,10,38004.0,03/12/2020,2020-12-03 09:20:00
easyJet,11,37118.0,03/12/2020,2020-12-03 12:00:00
Vanguard S&P 500 ETF,12,36700.0,03/12/2020,2020-12-03 12:00:00
Aston Martin,13,35039.0,03/12/2020,2020-12-03 09:20:00
Lloyds Banking Group,14,34334.0,03/12/2020,2020-12-03 12:00:00
Alibaba,15,31791.0,03/12/2020,2020-12-03 09:20:00
Palantir,16,30923.0,03/12/2020,2020-12-03 09:20:00
Nvidia,17,29956.0,03/12/2020,2020-12-03 12:00:00
Barclays,18,29817.0,03/12/2020,2020-12-03 09:20:00
Under Armour,19,29274.0,03/12/2020,2020-12-03 12:00:00
Alphabet Inc. Class A,20,29209.0,03/12/2020,2020-12-03 12:00:00
iShares Global Clean Energy,21,29022.0,03/12/2020,2020-12-03 12:00:00
IAG SA,22,28923.0,03/12/2020,2020-12-03 12:00:00
Royal Dutch Shell,23,28906.0,03/12/2020,2020-12-03 12:00:00
Facebook,24,27865.0,03/12/2020,2020-12-03 09:20:00
Cineworld Group,25,27381.0,03/12/2020,2020-12-03 12:00:00
Coca-Cola,26,26840.0,03/12/2020,2020-12-03 09:20:00
AstraZeneca,27,26337.0,03/12/2020,2020-12-03 12:00:00
Boeing,28,24826.0,03/12/2020,2020-12-03 09:20:00
Beyond Meat,29,24697.0,03/12/2020,2020-12-03 09:20:00
Walt Disney,30,21831.0,03/12/2020,2020-12-03 12:00:00
Advanced Micro Devices,31,20565.0,03/12/2020,2020-12-03 12:00:00
Nikola Corporation,32,20340.0,03/12/2020,2020-12-03 12:00:00
XPeng,33,20234.0,03/12/2020,2020-12-03 12:00:00
GlaxoSmithKline,34,20231.0,03/12/2020,2020-12-03 12:00:00
AT&T,35,19183.0,03/12/2020,2020-12-03 12:00:00
Virgin Galactic,36,19096.0,03/12/2020,2020-12-03 12:00:00
Zoom,37,18508.0,03/12/2020,2020-12-03 09:20:00
General Electric,38,18468.0,03/12/2020,2020-12-03 12:00:00
Moderna,39,17787.0,03/12/2020,2020-12-03 09:20:00
Wirecard,40,16955.0,03/12/2020,2020-12-03 09:20:00
McDonald's,41,16806.0,03/12/2020,2020-12-03 09:20:00
Square,42,16468.0,03/12/2020,2020-12-03 12:00:00
Tesco,43,16418.0,03/12/2020,2020-12-03 09:20:00
Premier Oil,44,16123.0,03/12/2020,2020-12-03 12:00:00
Bitcoin ETP,45,15871.0,03/12/2020,2020-12-03 12:00:00
PayPal,46,15455.0,03/12/2020,2020-12-03 09:20:00
Intel,47,14910.0,03/12/2020,2020-12-03 12:00:00
Uber Technologies,48,14655.0,03/12/2020,2020-12-03 12:00:00
HSBC Holdings,49,14608.0,03/12/2020,2020-12-03 12:00:00
Aurora Cannabis,50,14344.0,03/12/2020,2020-12-03 09:20:00
BioNTech,51,14090.0,03/12/2020,2020-12-03 12:00:00
Peloton Interactive,52,13551.0,03/12/2020,2020-12-03 09:20:00
Vanguard FTSE 100 GBP,53,13009.0,03/12/2020,2020-12-03 12:00:00
Johnson & Johnson,54,12981.0,03/12/2020,2020-12-03 12:00:00
Visa,55,12666.0,03/12/2020,2020-12-03 09:20:00
American Airlines,56,12444.0,03/12/2020,2020-12-03 09:20:00
Nike,57,12186.0,03/12/2020,2020-12-03 12:00:00
Tilray,58,11432.0,03/12/2020,2020-12-03 09:20:00
BAE Systems,59,11260.0,03/12/2020,2020-12-03 12:00:00
boohoo,60,10976.0,03/12/2020,2020-12-03 09:20:00
Shopify,61,10957.0,03/12/2020,2020-12-03 09:20:00
Workhorse,62,10761.0,03/12/2020,2020-12-03 09:20:00
Plug Power,63,10721.0,03/12/2020,2020-12-03 12:00:00
Ocado Group,64,10670.0,03/12/2020,2020-12-03 09:20:00
Carnival,65,10612.0,03/12/2020,2020-12-03 12:00:00
Vodafone Group,66,10409.0,03/12/2020,2020-12-03 12:00:00
Exxon Mobil,67,10132.0,03/12/2020,2020-12-03 12:00:00
Unilever,68,10094.0,03/12/2020,2020-12-03 12:00:00
WisdomTree WTI Crude Oil,69,10089.0,03/12/2020,2020-12-03 09:20:00
Switchback Energy Acquisition,70,9422.0,03/12/2020,2020-12-03 12:00:00
SmileDirectClub,71,9060.0,03/12/2020,2020-12-03 12:00:00
Realty Income,72,9020.0,03/12/2020,2020-12-03 09:20:00
Sundial Growers,73,8772.0,03/12/2020,2020-12-03 12:00:00
iShares Physical Gold,74,8636.0,03/12/2020,2020-12-03 09:20:00
Sony,75,8629.0,03/12/2020,2020-12-03 12:00:00
J D Wetherspoon,76,8555.0,03/12/2020,2020-12-03 12:00:00
Slack,77,8542.0,03/12/2020,2020-12-03 12:00:00
Delta Air Lines,78,8392.0,03/12/2020,2020-12-03 12:00:00
Vanguard FTSE All-World High Dividend Yield,79,8282.0,03/12/2020,2020-12-03 12:00:00
Salesforce,80,8132.0,03/12/2020,2020-12-03 12:00:00
Walmart,81,8120.0,03/12/2020,2020-12-03 09:20:00
Legal & General Group,82,7937.0,03/12/2020,2020-12-03 12:00:00
BT Group,83,7911.0,03/12/2020,2020-12-03 09:20:00
IBM Corporation,84,7901.0,03/12/2020,2020-12-03 09:20:00
Ideanomics,85,7757.0,03/12/2020,2020-12-03 12:00:00
Ford Motor,86,7707.0,03/12/2020,2020-12-03 09:20:00
Li Auto,87,7588.0,03/12/2020,2020-12-03 12:00:00
Hyliion Holdings,88,7551.0,03/12/2020,2020-12-03 12:00:00
JPMorgan Chase,89,7536.0,03/12/2020,2020-12-03 09:20:00
Powerhouse Energy,90,7406.0,03/12/2020,2020-12-03 09:20:00
TUI,91,7354.0,03/12/2020,2020-12-03 12:00:00
Greggs,92,7329.0,03/12/2020,2020-12-03 09:20:00
Blink Charging,93,7270.0,03/12/2020,2020-12-03 09:20:00
Wells Fargo,94,7174.0,03/12/2020,2020-12-03 12:00:00
Berkshire Hathaway,95,7119.0,03/12/2020,2020-12-03 09:20:00
Snap Inc.,96,7077.0,03/12/2020,2020-12-03 12:00:00
Aviva,97,7032.0,03/12/2020,2020-12-03 12:00:00
Greatland Gold,98,6906.0,03/12/2020,2020-12-03 12:00:00
Qualcomm,99,6878.0,03/12/2020,2020-12-03 12:00:00
Mastercard,100,6877.0,03/12/2020,2020-12-03 09:20:00
Tesla,1,112333.0,04/12/2020,2020-12-04 18:40:00
Apple,2,83851.0,04/12/2020,2020-12-04 18:40:00
Amazon,3,77199.0,04/12/2020,2020-12-04 21:40:00
NIO Inc,4,74253.0,04/12/2020,2020-12-04 21:40:00
BP PLC,5,51299.0,04/12/2020,2020-12-04 18:40:00
Rolls-Royce Holdings,6,43571.0,04/12/2020,2020-12-04 21:40:00
Microsoft,7,43072.0,04/12/2020,2020-12-04 19:40:00
Pfizer,8,40194.0,04/12/2020,2020-12-04 18:20:00
National Grid,9,39176.0,04/12/2020,2020-12-04 21:40:00
Netflix,10,38202.0,04/12/2020,2020-12-04 21:40:00
easyJet,11,37694.0,04/12/2020,2020-12-04 18:20:00
Vanguard S&P 500 ETF,12,36993.0,04/12/2020,2020-12-04 18:20:00
Aston Martin,13,35077.0,04/12/2020,2020-12-04 08:20:00
Lloyds Banking Group,14,34636.0,04/12/2020,2020-12-04 18:20:00
Alibaba,15,31814.0,04/12/2020,2020-12-04 21:40:00
Palantir,16,31763.0,04/12/2020,2020-12-04 21:40:00
Nvidia,17,30169.0,04/12/2020,2020-12-04 18:20:00
Barclays,18,29887.0,04/12/2020,2020-12-04 21:40:00
IAG SA,19,29683.0,04/12/2020,2020-12-04 21:40:00
Alphabet Inc. Class A,20,29675.0,04/12/2020,2020-12-04 19:40:00
iShares Global Clean Energy,21,29250.0,04/12/2020,2020-12-04 21:40:00
Under Armour,22,29187.0,04/12/2020,2020-12-04 08:20:00
Royal Dutch Shell,23,28992.0,04/12/2020,2020-12-04 18:20:00
Cineworld Group,24,28484.0,04/12/2020,2020-12-04 18:20:00
Facebook,25,28296.0,04/12/2020,2020-12-04 21:40:00
Coca-Cola,26,27127.0,04/12/2020,2020-12-04 19:40:00
AstraZeneca,27,26561.0,04/12/2020,2020-12-04 11:00:00
Boeing,28,25995.0,04/12/2020,2020-12-04 21:40:00
Beyond Meat,29,24888.0,04/12/2020,2020-12-04 21:40:00
Walt Disney,30,22113.0,04/12/2020,2020-12-04 21:40:00
Nikola Corporation,31,20779.0,04/12/2020,2020-12-04 21:40:00
Advanced Micro Devices,32,20779.0,04/12/2020,2020-12-04 21:40:00
GlaxoSmithKline,33,20447.0,04/12/2020,2020-12-04 21:40:00
XPeng,34,20238.0,04/12/2020,2020-12-04 11:00:00
AT&T,35,19575.0,04/12/2020,2020-12-04 21:40:00
Virgin Galactic,36,19329.0,04/12/2020,2020-12-04 21:40:00
General Electric,37,19240.0,04/12/2020,2020-12-04 21:40:00
Zoom,38,18721.0,04/12/2020,2020-12-04 21:40:00
Moderna,39,18133.0,04/12/2020,2020-12-04 21:40:00
McDonald's,40,17058.0,04/12/2020,2020-12-04 21:40:00
Wirecard,41,16931.0,04/12/2020,2020-12-04 08:20:00
Square,42,16729.0,04/12/2020,2020-12-04 21:40:00
Tesco,43,16377.0,04/12/2020,2020-12-04 08:20:00
Bitcoin ETP,44,16108.0,04/12/2020,2020-12-04 11:00:00
Premier Oil,45,16096.0,04/12/2020,2020-12-04 08:20:00
PayPal,46,15694.0,04/12/2020,2020-12-04 21:40:00
Uber Technologies,47,14957.0,04/12/2020,2020-12-04 21:40:00
Intel,48,14908.0,04/12/2020,2020-12-04 18:20:00
Aurora Cannabis,49,14902.0,04/12/2020,2020-12-04 21:40:00
HSBC Holdings,50,14763.0,04/12/2020,2020-12-04 21:40:00
BioNTech,51,14200.0,04/12/2020,2020-12-04 21:40:00
Peloton Interactive,52,13622.0,04/12/2020,2020-12-04 18:20:00
Vanguard FTSE 100 GBP,53,13138.0,04/12/2020,2020-12-04 18:40:00
Johnson & Johnson,54,13069.0,04/12/2020,2020-12-04 19:40:00
American Airlines,55,13033.0,04/12/2020,2020-12-04 21:40:00
Visa,56,12817.0,04/12/2020,2020-12-04 18:40:00
Nike,57,12386.0,04/12/2020,2020-12-04 21:40:00
Tilray,58,11391.0,04/12/2020,2020-12-04 08:20:00
BAE Systems,59,11230.0,04/12/2020,2020-12-04 08:20:00
Shopify,60,11073.0,04/12/2020,2020-12-04 21:40:00
Plug Power,61,11024.0,04/12/2020,2020-12-04 21:40:00
boohoo,62,10980.0,04/12/2020,2020-12-04 21:40:00
Carnival,63,10967.0,04/12/2020,2020-12-04 21:40:00
Workhorse,64,10912.0,04/12/2020,2020-12-04 08:20:00
Ocado Group,65,10623.0,04/12/2020,2020-12-04 21:40:00
Vodafone Group,66,10470.0,04/12/2020,2020-12-04 11:00:00
Unilever,67,10352.0,04/12/2020,2020-12-04 18:20:00
Exxon Mobil,68,10279.0,04/12/2020,2020-12-04 21:40:00
WisdomTree WTI Crude Oil,69,10063.0,04/12/2020,2020-12-04 08:20:00
Switchback Energy Acquisition,70,9541.0,04/12/2020,2020-12-04 08:20:00
Realty Income,71,9207.0,04/12/2020,2020-12-04 21:40:00
SmileDirectClub,72,9066.0,04/12/2020,2020-12-04 08:20:00
Salesforce,73,8898.0,04/12/2020,2020-12-04 21:40:00
Sundial Growers,74,8750.0,04/12/2020,2020-12-04 18:20:00
Delta Air Lines,75,8726.0,04/12/2020,2020-12-04 21:40:00
iShares Physical Gold,76,8654.0,04/12/2020,2020-12-04 18:20:00
Sony,77,8602.0,04/12/2020,2020-12-04 21:40:00
J D Wetherspoon,78,8594.0,04/12/2020,2020-12-04 08:20:00
Slack,79,8474.0,04/12/2020,2020-12-04 08:20:00
Vanguard FTSE All-World High Dividend Yield,80,8339.0,04/12/2020,2020-12-04 18:40:00
Walmart,81,8297.0,04/12/2020,2020-12-04 21:40:00
IBM Corporation,82,8040.0,04/12/2020,2020-12-04 18:20:00
Legal & General Group,83,7992.0,04/12/2020,2020-12-04 18:40:00
BT Group,84,7941.0,04/12/2020,2020-12-04 21:40:00
JPMorgan Chase,85,7780.0,04/12/2020,2020-12-04 21:40:00
Ford Motor,86,7762.0,04/12/2020,2020-12-04 21:40:00
Ideanomics,87,7738.0,04/12/2020,2020-12-04 11:00:00
Li Auto,88,7615.0,04/12/2020,2020-12-04 11:00:00
